N.SUB	N.NOTIFY	TOT TIME	AVG PUB-TO-SUB TIME	AVG PUB-PUBACK TIME	AVG SUB-SUBACK TIME	LOST NOTIFY	DUPLICATED NOTIFY	BROKER CPU	BROKER RAM	TOTAL BYTES	MQTT DATA
AVG	24	11,6259625911713	0,001493204811345		4,21655158996582	26		0,032789287329015		4461	7702
											
10	255	12,2617256641388	0,001395203774989	0	5,82062418460846	245	0	0,031923691336621	0	25052	45948
10	247	12,2603795528412	0,00108531224214	0	5,01919071674347	253	0	0,032961245035385	0	24487	45091
10	226	11,7600607872009	0,001045980646726	0	2,60991005897522	274	0	0,032915317268964	0	22557	41487
10	279	12,0116317272186	0,001167126545151	0	5,82093267440796	221	0	0,03286967341182	0	25659	47361
10	239	12,0111138820648	0,001204659965844	0	3,41281411647797	261	0	0,032824000303515	0	23774	44756
AVG	249,2	12,0609823226929	0,00117965663497		4,53669435024261	250,8		0,032698785471261		24305,8	44928,6
											
100	2223	12,0307672023773	0,010286486425714	0	4,4779625083461	2777	0	0,03228382020835	0	192374	368140
100	2556	12,2839348316193	0,010457914585725	0	4,55939598035331	2444	0	0,032576128653668	0	218530	422983
100	2446	12,2942793369293	0,010409837630403	0	5,72695098501263	2554	0	0,033220812084687	0	204820	390871
100	2435	12,2771019935608	0,009104497144338	0	3,78482418060303	2565	0	0,033610263366116	0	208589	408084
100	2694	12,0315022468567	0,009851273301999	0	4,68192775726318	2306	0	0,033857115981566	0	217008	430135
AVG	2470,8	12,1835171222687	0,010022001817636		4,64621228231565	2529,2		0,033109628058877		208264,2	404042,6
											
											
QOS SUBSCRIBE = 0											
QOS PUBLISH = 1											
											
CHECK PLEASE!											
1	36	20,0939917564392	1,40045903126399	2,66393638134003	0,200750350952148	14	14	0,031783584622098	0	11362	20812
1	41	17,3317070007324	0,886294719649524	2,45844021320343	4,21658158302307	9	16	0,031741523167052	0	12585	22210
1	32	14,066127538681	0,946239680051804	2,05151104927063	0,200680017471313	18	16	0,031628714781938	0	11689	21295
1	36	12,2919270992279	0,673250310950809	1,60434853553772	0,20053768157959	14	11	0,031580468536746	0	10139	16644
1	35	18,3359422683716	1,15305487768991	2,81293715953827	16,2624650001526	15	21	0,031532200744965	0	12503	22895
AVG	36	16,4239391326904	1,01185972392121	2,31823466777802	4,21620292663574	14	15,6	0,03165329837056		11655,6	20771,2
											
10	383	17,5741240978241	1,28691486492422	2,45459140300751	2,61014409065247	117	131	0,031092724468797	0	48282	93498
10	372	16,2916038036346	0,781842933121182	1,57000453472137	2,60968327522278	128	96	0,031045827202019	0	42261	83887
10	370	18,3136966228485	0,834434298784323	1,72344743728638	3,0109902381897	130	128	0,031328355359454	0	46524	92452
10	397	20,5787398815155	1,28955977138073	2,25746292114258	5,01865837574005	103	137	0,031187439287072	0	48150	92579
10	292	18,8386912345886	1,31142040054402	2,75126385688782	1,80717339515686	208	128	0,031140091932696	0	39800	71650
AVG	362,8	18,3193711280823	1,10083445375089	2,15135403060913	3,01132987499237	137,2	124	0,031158887650008		45003,4	86813,2
											
100	3633	20,0833320617676	0,751820127577625	1,71726982447566	4,7056843829155	1367	796	0,030858838340308	0	336157	672090
100	3390	15,089271068573	1,08593481166028	1,94676178693771	4,57065005064011	1610	705	0,030908565322652	0	327857	649833
100	3678	17,0734565258026	1,01564255064565	2,32623261334945	4,17479008436203	1322	1274	0,031417614646744	0	387515	763660
100	3720	17,3363161087036	0,920249350788524	1,75736344337463	5,0574261947554	1280	972	0,031371368280193	0	354886	707640
100	3824	18,0951254367828	1,36211510808925	2,15119328022003	3,61206342458725	1176	1209	0,031325418850859	0	388059	770361
AVG	3649	17,5355002403259	1,02715238975227	1,9797641896715	4,42412282745206	1351	991,2	0,031176361088151		358894,8	712716,8
